,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
35,North York,"Newtonbrook,Willowdale",Esso Touchless Car Wash,59dab5188a6f170c2fa1609f,Car Wash,43.798141,-79.419906,0,Korean Restaurant,Coffee Shop,Middle Eastern Restaurant,Hardware Store,Juice Bar,Café,Sandwich Place,Supermarket,Cantonese Restaurant,Sushi Restaurant
36,Scarborough,"Birch Cliff,Cliffside West",Traditions Auto Service - Coin-Op Carwash,5c843fd486bc49003902b312,Car Wash,43.697437,-79.27556,0,Convenience Store,Park,Restaurant,Bus Stop,Fast Food Restaurant,Dessert Shop,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Fish Market
37,North York,Willowdale South,Rambo Car Care,57ded17bcd10fe734c50b69b,Car Wash,43.762402,-79.410942,0,Japanese Restaurant,Grocery Store,Burger Joint,Fried Chicken Joint,Yoga Studio,Pizza Place,Sushi Restaurant,Steakhouse,Restaurant,Ramen Restaurant
38,North York,Victoria Village,PetroCanada Car Wash,56e16e5a498ebcd3b86aed5c,Car Wash,43.72597697105767,-79.29756890764523,0,Fast Food Restaurant,Clothing Store,Coffee Shop,Grocery Store,Cosmetics Shop,Middle Eastern Restaurant,Shopping Plaza,Shopping Mall,Supermarket,Sandwich Place
39,East Toronto,Studio District,Esso Car Wash,51216e09e4b06dc366d29e30,Car Wash,43.654307701562175,-79.3377461774713,0,Coworking Space,Coffee Shop,Baseball Field,Lake,Gym,Garden Center,Diner,Performing Arts Venue,Business Service,Filipino Restaurant
40,North York,Hillcrest Village,MExpress Auto Detailing,58ba6f9a1d21ba1e3b92ecde,Auto Workshop,43.82569,-79.358665,0,Yoga Studio,Asian Restaurant,Music Store,Convenience Store,Cupcake Shop,Electronics Store,Food & Drink Shop,Food,Flower Shop,Flea Market
41,North York,Victoria Village,Canadian Tire Gas+,4c34cbd6213c2d7f1419395d,Gas Station,43.71963763889704,-79.30481662180023,0,Pizza Place,Coffee Shop,BBQ Joint,Food,Grocery Store,Beer Store,Department Store,Sandwich Place,Indian Restaurant,Pharmacy
42,Scarborough,Upper Rouge,Canadian Tire Gas+,4c4229deff711b8d401f1305,Gas Station,43.852116,-79.255465,0,Hakka Restaurant,Middle Eastern Restaurant,Grocery Store,Paper / Office Supplies Store,Asian Restaurant,Smoothie Shop,Sandwich Place,Sporting Goods Shop,Restaurant,Fried Chicken Joint
43,Scarborough,"East Birchmount Park,Ionview,Kennedy Park",Canadian Tire Gas+,4bf46bcde5eba593baa61f90,Gas Station,43.735243,-79.253597,0,Pizza Place,Chinese Restaurant,Pharmacy,Burger Joint,Fast Food Restaurant,Beer Store,Liquor Store,Rental Car Location,Discount Store,Breakfast Spot
44,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Dragon Car Wash,4e218e2988774a43b76a9d10,Car Wash,43.82348995413391,-79.30572461010443,4,Japanese Restaurant,Bakery,Chinese Restaurant,Bubble Tea Shop,Hong Kong Restaurant,Vietnamese Restaurant,Asian Restaurant,Tea Room,Snack Place,Food & Drink Shop
