,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
176,North York,Hillcrest Village,Pro Auto Car Wash,4c4880d41ddec92836c6a032,Car Wash,43.822246,-79.395378,0,Pizza Place,Coffee Shop,Thrift / Vintage Store,Gym,Gym / Fitness Center,Greek Restaurant,Cosmetics Shop,Cupcake Shop,Falafel Restaurant,Dumpling Restaurant
177,Etobicoke,"Alderwood,Long Branch",Circle K Esso Touchless Car Wash,5a63ea1116fa04022313ec23,Car Wash,43.609557,-79.582592,0,Fast Food Restaurant,Thrift / Vintage Store,Coffee Shop,Discount Store,Restaurant,Korean Restaurant,Grocery Store,Big Box Store,Bank,Fried Chicken Joint
178,Mississauga,Canada Post Gateway Processing Centre,Canadian Tire Gas+,50a71a59e4b078584f7c684c,Gas Station,43.61142946369679,-79.69560889305653,0,Chinese Restaurant,Clothing Store,Coffee Shop,Ice Cream Shop,Indian Restaurant,Electronics Store,Kids Store,Bakery,Donut Shop,Beer Bar
179,Mississauga,Canada Post Gateway Processing Centre,Kennedy Coin-Op Car Wash,5048b0bbe4b0f7c26eae0d43,Car Wash,43.685539,-79.736257,4,Indian Restaurant,Bakery,Coffee Shop,Chinese Restaurant,Yoga Studio,Fast Food Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
180,Mississauga,Canada Post Gateway Processing Centre,Superwork Car Wash,54a13105498e5892fbba66fd,Car Wash,43.59418851522341,-79.71068453205633,0,Gas Station,Sandwich Place,Chinese Restaurant,Golf Course,Grocery Store,Gym / Fitness Center,Park,Asian Restaurant,Donut Shop,Dumpling Restaurant
181,Mississauga,Canada Post Gateway Processing Centre,The Detail Pros,50119e14e4b05edd99e7398d,Car Wash,43.6879013,-79.73911059999999,4,Indian Restaurant,Furniture / Home Store,Athletics & Sports,Chinese Restaurant,Coffee Shop,Bakery,Fast Food Restaurant,Electronics Store,Ethiopian Restaurant,Event Space
182,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Petro-Canada,4cc8f6b16fbc199c88de617d,Gas Station,43.903358,-79.292609,1,Japanese Restaurant,Martial Arts Dojo,Gas Station,Bus Stop,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant
183,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Petro-Canada Car Wash,59a1b517135b395e9d00586d,Car Wash,43.903434,-79.292764,1,Japanese Restaurant,Martial Arts Dojo,Gas Station,Bus Stop,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant
184,Scarborough,Upper Rouge,Mount Joy Car Wash,4bf9dcef5317a5932c01027f,Car Wash,43.90108593652553,-79.26354061530562,0,Pizza Place,Beer Store,Café,Liquor Store,Furniture / Home Store,Frozen Yogurt Shop,Pharmacy,Cosmetics Shop,Fish & Chips Shop,Financial or Legal Service
185,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Touchless Car Wash,51826ada498ef750e88c0126,Car Wash,43.90320476723645,-79.29228626750475,1,Japanese Restaurant,Martial Arts Dojo,Gas Station,Bus Stop,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant
186,Etobicoke,"Alderwood,Long Branch",Canadian Tire Gas+,4cef2ff20acea35dc43aedae,Gas Station,43.60424633015255,-79.58867311477661,0,Vietnamese Restaurant,Fast Food Restaurant,BBQ Joint,Department Store,Korean Restaurant,Sandwich Place,Light Rail Station,Supermarket,Laser Tag,Portuguese Restaurant
187,Etobicoke,Northwest,In 'N Out Coin Wash,4f67be6ae4b037b43e46c413,Car Wash,43.723058,-79.718145,0,Convenience Store,Café,Bar,Gas Station,Pub,Yoga Studio,Farmers Market,Ethiopian Restaurant,Event Space,Falafel Restaurant
188,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown",In N Out Car Wash,4c0bb886340720a160798893,Car Wash,43.754805117030365,-79.70948471043171,3,Dance Studio,Coffee Shop,Gas Station,Yoga Studio,Fast Food Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
189,Mississauga,Canada Post Gateway Processing Centre,Shell Car Wash,5722a31f498ee93a2413b41f,Car Wash,43.57052,-79.660093,4,Chinese Restaurant,Asian Restaurant,Supermarket,Mediterranean Restaurant,Furniture / Home Store,Spa,Sandwich Place,Pizza Place,Noodle House,Korean Restaurant
190,Scarborough,Upper Rouge,ESSO Car Wash,50e61b56e4b026ac788a0034,Car Wash,43.90867745145584,-79.26926607228928,0,Cha Chaan Teng,Bubble Tea Shop,Spa,Furniture / Home Store,Music Store,Bank,Garden Center,Fried Chicken Joint,Supermarket,Sandwich Place
