,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng
138,North York,"Lawrence Heights,Lawrence Manor",Petro-Canada,4bc20ef62a89ef3b9121f388,Gas Station,43.690515999999995,-79.574127
140,North York,"Lawrence Heights,Lawrence Manor",Petro-Pass Truck Stop,57f799f2498ecadc383b59c9,Gas Station,43.759525,-79.489949
147,North York,"Lawrence Heights,Lawrence Manor",Canadian Tire Gas+,516499afe4b04a934b547361,Gas Station,43.74270475007968,-79.594644104551
148,North York,"Lawrence Heights,Lawrence Manor",Petro-Canada,4e3451c8a8092599edf8be1c,Gas Station,43.759759,-79.590726
149,North York,"Lawrence Heights,Lawrence Manor",Popular Car Wash & Detailing - Free Vacuums,4ef5036b754ac34454590eb8,Car Wash,43.713491999999995,-79.5824237
150,North York,"Lawrence Heights,Lawrence Manor",AAA AUTO SPA MOBILE CAR DETAILING,57c5d5ce498ec95b54afa201,Car Wash,43.7805913668475,-79.48710322380066
154,North York,"Lawrence Heights,Lawrence Manor",Star Steam,510be4dae4b0b0ec5e4f6a33,Car Wash,43.784163,-79.477228
156,North York,"Lawrence Heights,Lawrence Manor",Ecomobile Auto Spa,51eead7a498ea99f321f6e54,Car Wash,43.743056,-79.527732
157,North York,"Lawrence Heights,Lawrence Manor",Speedy Auto Service,4e56517ba809ca773dfe755e,Automotive Shop,43.631146279996635,-79.54612688068397
159,North York,"Lawrence Heights,Lawrence Manor",Steeles Car Wash,4f511a4be4b00ad2ab11bbc1,Car Wash,43.782527531200934,-79.48640786410006
162,North York,"Lawrence Heights,Lawrence Manor",Esso Touchless Car Wash,52ffa137498e9ccff8cb1526,Car Wash,43.62392584986218,-79.51566556393941
169,North York,"Lawrence Heights,Lawrence Manor",Autobahn,51aa1c51498e35a6097d7089,Car Wash,43.822732,-79.48359
171,North York,"Lawrence Heights,Lawrence Manor",Esso,5bfb242d1c0b34002cfb0366,Gas Station,43.769731,-79.548212
182,Queen's Park,Queen's Park,Canadian Tire Gas+,4fe92ec6e4b0a5a17c1033a9,Gas Station,43.725071,-79.48102800000001
214,Queen's Park,Queen's Park,Rambo - The Car Cleaning Experts,4fc8f99ae4b032a186903686,Car Wash,43.755837,-79.437241
217,Downtown Toronto,Queen's Park,Petro-Canada,4d01605e2f03224bc11f60e2,Gas Station,43.627037,-79.63114300000001
