,Venue_id,Venue,Venue Latitude,Venue Longitude,Nearby Venue,Nearby Venue Category
76,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Aroma Espresso Bar,Coffee Shop
77,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Tim Hortons,Coffee Shop
78,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Willie Stouts,Pub
79,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Engage Studio,Jewelry Store
80,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Mercator euro mini mart,Eastern European Restaurant
81,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Yorkland Gym,Gym
82,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Old Sheppard Park,Park
83,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Crossroads Recreational Centre,Gym / Fitness Center
84,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Fox & Fiddle,BBQ Joint
85,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Rogers Communications @ Atria,Electronics Store
86,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Select Sandwich,Sandwich Place
87,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Taro's Fish,Fish Market
88,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Mountain Equipment Co-op,Outdoor Supply Store
89,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,MEC,Sporting Goods Shop
90,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Sunshine Spot,Breakfast Spot
91,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Shatter Abbas,Persian Restaurant
92,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,IKEA,Furniture / Home Store
93,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,IKEA Restaurant,Scandinavian Restaurant
94,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,McDonald's,Fast Food Restaurant
95,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Peking Man 牛家莊,Chinese Restaurant
96,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,TD Canada Trust,Bank
97,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Shell,Gas Station
98,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Pizza Pizza,Pizza Place
99,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Subway,Sandwich Place
100,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Bessarion Subway Station,Metro Station
101,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,IKEA Shuttle Bus,Moving Target
102,4db48b6f4df05e5aaae21a1f,Canadian Tire Gas+,43.77052621408672,-79.37312571119537,Clarinda Park,Park
103,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Yin Ji Chang Fen 銀記腸粉店,Chinese Restaurant
104,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,T&T Supermarket 大統華超級市場,Supermarket
105,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Asian Legend 味香村,Chinese Restaurant
106,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Starbucks,Coffee Shop
107,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Tai Ping Hsiang B.B.Q 太平香便當,Asian Restaurant
108,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,九鼎香 Legendary Hot Pot,Szechuan Restaurant
109,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Menchies,Ice Cream Shop
110,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Fortune Stone Restaurant 滾石餐廳,Chinese Restaurant
111,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Chatime Bubble Tea 日出茶太,Bubble Tea Shop
112,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Metro Square Food Court,Chinese Restaurant
113,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Green Grotto Tea Room 綠的小窩,Tea Room
114,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Sakura Korean & Japanese Restaurant,Korean Restaurant
115,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Keung's Delight 強記雞粥,Hong Kong Restaurant
116,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,TD Canada Trust,Bank
117,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Xin Jiang Restaurant 西域食府,Xinjiang Restaurant
118,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Chinese Dumpling House 真東北餃子館,Dumpling Restaurant
119,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Shoppers Drug Mart,Pharmacy
120,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Casa-Imperial Fine Chinese Cuisine 名門金宴,Dim Sum Restaurant
121,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Sweet Esc,Dessert Shop
122,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Gong Cha 貢茶,Bubble Tea Shop
123,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Backyard Garden 半畝園,Chinese Restaurant
124,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Subway,Sandwich Place
125,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Chin Yuan Pai Ku 金園排骨,Fast Food Restaurant
126,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Ajisen Ramen 味千ラーメン,Ramen Restaurant
127,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Boston Pizza,Pizza Place
128,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Dayali Beijing Roast Duck 大鴨梨,Chinese Restaurant
